name,variables,expression,train_range,test_range
Livermore-10,2,'6*sin(x_1)*cos(x_2),"U[-3,3,200]","U[-3,3,200]"
Livermore-11,2,'((((x_1) ** (2))*((x_2) ** (2))) / ((x_1+x_2))),"U[-3,3,200]","U[-3,3,200]"
Livermore-12,2,'((((x_1) ** (5))) / (((x_2)) ** (3))),"U[-3,3,200]","U[-3,3,200]"
Livermore-13,1,'((x_1) ** (1/3)),"U[-3,3,200]","U[-3,3,200]"
Livermore-14,2,'((x_1) ** (3))+((x_1) ** (2))+x_1+sin(x_1)+sin(((x_2) ** (2))),"U[-1,1,200]","U[-1,1,200]"
Livermore-15,1,'((x_1) ** (1/5)),"U[-3,3,200]","U[-3,3,200]"
Livermore-16,1,'((x_1) ** (2/3)),"U[-3,3,200]","U[-3,3,200]"
Livermore-17,2,'4*sin(x_1)*cos(x_2),"U[-3,3,200]","U[-3,3,200]"
Livermore-18,1,'sin(((x_1) ** (2)))*cos(x_1)-5,"U[-3,3,200]","U[-3,3,200]"
Livermore-19,1,'((x_1) ** (5))+((x_1) ** (4))+((x_1) ** (2))+x_1,"U[-3,3,200]","U[-3,3,200]"
Livermore-20,1,'exp(-1*((x_1) ** (2))),"U[-3,3,200]","U[-3,3,200]"
Livermore-21,1,'((x_1) ** (8))+((x_1) ** (7))+((x_1) ** (6))+((x_1) ** (5))+((x_1) ** (4))+((x_1) ** (3))+((x_1) ** (2))+x_1,"U[-1,1,200]","U[-1,1,200]"
Livermore-22,1,'exp(-0.5*((x_1) ** (2))),"U[-3,3,200]","U[-3,3,200]"
Neat-1,1,'((x_1) ** (4))+((x_1) ** (3))+((x_1) ** (2))+x_1,"U[-1,1,200]","U[-1,1,200]"
Neat-2,1,'((x_1) ** (5))+((x_1) ** (4))+((x_1) ** (3))+((x_1) ** (2))+x_1,"U[-1,1,200]","U[-1,1,200]"
Neat-3,1,'sin(((x_1) ** (2)))*cos(x_1)-1,"U[-1,1,200]","U[-1,1,200]"
Neat-4,1,'log(x_1+1)+log(((x_1) ** (2))+1),"U[0,2,200]","U[0,2,200]"
Neat-5,2,'2*sin(x_1)*cos(x_2),"U[-1,1,200]","U[-1,1,200]"
Neat-7,2,'2-2.1*cos(9.8*x_1)*sin(1.3*x_2),"U[-1,1,200]","U[-1,1,200]"
Neat-8,2,'((exp(-((x_1) ** (2)))) / ((1.2+((x_2-2.5)) ** (2)))),"U[0.3,4,200]","U[0.3,4,200]"
Neat-9,2,'((1) / (1+((x_1)) ** (-4)))+((1) / (1+((x_2)) ** (-4))),"U[-1,1,200]","U[-1,1,200]"
Jin-1,2,'(((x_1) ** (4))*2.5 - ((x_1) ** (3))*1.3) + (((x_2) ** (2))*0.5 - x_2*1.7),"U[-3,3,200]","U[-3,3,200]"
Jin-2,2,'(((x_1) ** (2))*8.0 + ((x_2) ** (3))*8.0) - 15.0,"U[-3,3,200]","U[-3,3,200]"
Jin-3,2,'(((x_1) ** (3))*0.2 + ((x_2) ** (3))*0.5) - x_2*1.2 - x_1*0.5,"U[-3,3,200]","U[-3,3,200]"
Jin-4,2,'exp(x_1)*1.5 + cos(x_2)*5.0,"U[-3,3,200]","U[-3,3,200]"
Jin-5,2,'sin(x_1)*cos(x_2)*6.0,"U[-3,3,200]","U[-3,3,200]"
Jin-6,2,'x_1*x_2*1.35 + sin((x_1-1)*(x_2-1))*5.5,"U[-3,3,200]","U[-3,3,200]"
Nguyen-1,1,'((x_1) ** (3))+((x_1) ** (2))+x_1,"U[-1,1,200]","U[-1,1,200]"
Constant-1,1,'3.39*((x_1) ** (3))+2.12*((x_1) ** (2))+1.78*x_1,"U[-4,4,200]","U[-4,4,200]"
Constant-2,1,'sin(((x_1) ** (2)))*cos(x_1)-0.75,"U[-4,4,200]","U[-4,4,200]"
Constant-3,2,'sin(1.5*x_1)*cos(0.5*x_2),"U[0.1,4,200]","U[0.1,4,200]"
Constant-4,2,'2.7*((x_1) ** (x_2)),"U[0.3,4,200]","U[0.3,4,200]"
Constant-5,1,'sqrt(1.23*x_1),"U[0.1,4,200]","U[0.1,4,200]"
Constant-6,1,'((x_1) ** (0.426)),"U[0,4,200]","U[0,4,200]"
Constant-7,2,'2*sin(1.3*x_1)*cos(x_2),"U[-4,4,200]","U[-4,4,200]"
Constant-8,1,'log(x_1+1.4)+log(((x_1) ** (2))+1.3),"U[-4,4,200]","U[-4,4,200]"
